address,balance,lock,balance_lock,is_EVM_contract,display_address,evm_account,registrar_info,count_extrinsic,nft_amount,extra,first_block_time
a42b561e32806eb08aea2b924ef5a12a8d5e233838d835b12c30c67ae431160d,1508719178467089048,0,0,False,5FmxapL3CjwAeimxiRBt3gYD8u9iKRcx2x8ASUtGLpQD78vD,,,0,0,,2023-03-14 23:52:06
b876ee96d6c8cdbc946fab8c1e67ef1b0399afc0a7a31999ed868997bc0d8140,1500001596293422814,0,0,False,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,,,0,0,,2022-07-19 18:54:19
923956ceb8eaf3c5cf72f8b26560e7c828cb831c741a83ceb347d5f0a2446c59,1466083331166835973,620574550642464617,620574550642464617,False,5FNRt5wVsRiUSBQDYjAvkvDSaQABWxQBvGdaCvCF6S733eGZ,,,0,0,,2022-05-11 17:31:34
a47d737bf511dab8239cb51ff5549e3414a1f184572c47ab5358e3a7ea04585d,1461698835308219638,1309958837930891119,1309958837930891119,False,5FnNycwB7t4BWKyastq88LZuucVRxwRqvBJxiSVu1Jy3MuPk,,,0,0,,2022-10-26 14:58:13
4a76bd5fbaa0b125aa460fcb032624b93eb4a59fc0b642901ec540abce85b36f,1441336844335010663,0,0,False,5DkLg2aYPTVReyjrActpjg7wprUrrRocdJM8dy4u1UvqHwKd,,,0,0,,2023-02-03 13:53:08
aca5889bba07b0a70cc6e2d601ce7406bb6741fdc491d58c73b8da1fb86f575a,1438536009361387662,1413535009361387662,1413535009361387662,False,5Fy5GSjhieELw4MpxJxFjmFL6kXiq7NEUojPxzzRrvcWnFLV,,,0,0,,2022-05-13 13:04:34
b8f5e99d2b53cb9095c6b3d1760b3672a22efed95851458c55eeaba903e2d251,1432344182459062996,0,0,False,5GFDifkjwtfkyqjHtFZ8ZHNUsyXyftU1g4H4KLLqmHNkxqfd,,,0,0,,2022-06-22 10:14:00
d06f6a240bc7c1a33b0882054c0d37b39f629fa58552a90dded8d4887922cb33,1402413486548821883,412348269311511587,412348269311511587,False,5GmzuyjJtQsfCdvERvro9WnbCRYU2WMX2fHoAq6SQQtTX8Qh,,,0,0,,2022-11-09 18:57:57
4a50cfe5a866c9183ca7db37c94062d9478497bdc9f8255903f358205c7bcd23,1400056000000000000,0,0,False,5Dk9QYrF7A9Hn3nZ3h5aGbWCLBzhtXFLbRpFLbB2CwRsvyrX,,,0,0,,2024-07-06 15:54:22
d89c8d7361443ee567a89e803b8e75e49a598e2fe8c16a35b851af4a440b2763,1389064995688452594,49140138934244380,49140138934244380,False,5GxihuVTsCP2n1av5qEmmJaYwjuXSmiMCGwPyH2g9pHDxffL,,,0,0,,2022-07-28 18:20:44
